age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
59,4,176118,12,14,2,10,0,4,1,0,0,7,39,1
46,7,96652,8,11,5,1,4,2,0,0,0,40,39,0
28,4,250135,15,10,0,4,1,4,0,0,0,40,39,0
34,4,107624,15,10,2,3,0,4,1,0,0,50,39,0
36,4,635913,11,9,3,8,1,2,1,0,0,40,39,0
61,0,451327,9,13,2,0,0,3,1,0,0,24,39,1
47,4,87490,12,14,0,4,4,4,1,0,0,42,39,0
45,4,259323,15,10,2,3,0,4,1,0,0,40,39,0
60,4,81578,6,5,2,12,0,4,1,0,0,40,39,0
38,4,210610,7,12,2,13,0,4,1,0,0,40,39,1
31,4,189759,11,9,4,5,1,4,1,0,2001,40,39,0
59,5,171355,12,14,0,10,4,4,1,0,0,55,39,0
28,0,30237,15,10,4,0,4,4,0,0,0,40,39,0
37,7,272471,15,10,6,14,4,4,0,0,0,40,39,0
56,7,133728,15,10,2,4,0,4,1,0,0,35,39,1
20,4,193130,15,10,4,1,3,4,0,0,0,30,39,0
40,2,174395,9,13,2,4,0,4,1,0,0,60,39,1
47,6,237731,11,9,2,5,0,4,1,2829,0,65,39,0
57,4,122497,6,5,6,8,4,2,1,0,0,52,0,0
57,4,182062,0,6,2,8,0,4,1,0,0,40,39,0
26,4,117833,9,13,4,4,1,4,0,0,1669,50,39,0
39,2,423605,2,8,2,14,0,4,1,0,1848,40,27,1
58,4,32365,15,10,2,3,0,4,1,0,0,50,39,0
38,7,341643,7,12,4,4,1,4,1,0,0,60,39,0
19,4,361341,2,8,4,10,1,1,0,0,0,25,37,0
55,4,156089,15,10,6,1,4,4,0,0,0,40,39,0
39,4,288551,11,9,2,3,0,2,1,0,0,40,39,0
28,4,201175,1,7,4,7,1,2,1,0,0,40,39,0
38,5,186845,9,13,2,3,0,4,1,0,0,40,39,0
22,4,199266,11,9,4,8,1,4,0,0,0,45,39,0
69,6,69306,15,10,2,8,5,4,0,0,0,15,39,0
76,0,191024,9,13,2,0,0,4,1,0,0,30,39,0
25,4,149486,11,9,4,7,4,2,1,0,0,40,39,0
50,4,143353,11,9,0,9,4,2,0,0,0,12,39,0
58,4,169611,11,9,2,1,5,4,0,0,0,40,39,0
21,4,191324,15,10,4,8,3,4,1,0,0,25,39,0
41,4,123306,15,10,2,5,0,4,1,0,0,40,39,0
19,4,81961,15,10,4,8,3,4,0,0,0,20,39,0
18,4,54440,15,10,4,8,3,4,1,0,0,30,39,0
26,4,350853,4,3,4,14,1,4,1,0,0,40,0,0
60,4,247483,15,10,0,4,1,4,1,0,0,40,39,0
43,4,266439,11,9,0,7,1,4,1,0,0,45,39,0
27,4,165014,15,10,2,12,3,3,0,0,0,11,26,0
52,6,121038,11,9,6,8,4,2,0,0,0,43,39,0
26,4,369166,15,10,4,5,2,4,0,0,0,65,39,0
30,4,186346,9,13,4,4,1,4,0,0,0,50,39,0
45,5,139268,9,13,2,12,0,4,1,0,0,60,39,1
23,4,101885,0,6,4,3,1,4,0,0,0,40,39,0
33,4,52240,15,10,4,12,1,2,0,0,0,40,39,0
39,4,326342,1,7,2,8,0,2,1,2635,0,37,39,0
27,0,258231,11,9,4,0,1,4,1,0,0,35,0,0
63,6,35021,9,13,2,10,0,1,1,0,1977,32,3,1
34,4,286020,11,9,2,7,0,4,1,0,0,45,39,0
39,4,117683,11,9,2,14,0,4,1,0,0,40,39,1
32,4,137367,1,7,4,3,1,1,1,0,0,40,19,0
68,4,117236,9,13,2,4,0,4,1,20051,0,45,39,1
23,4,299047,9,13,4,12,1,4,0,0,0,40,39,0
47,1,229646,11,9,3,1,1,2,0,0,0,40,33,0
33,4,177331,8,11,2,3,0,2,1,0,0,40,39,0
51,7,136060,11,9,6,1,4,4,0,0,0,40,39,0
34,6,59469,1,7,2,5,0,4,1,0,0,72,39,0
43,4,59107,11,9,5,8,1,4,0,4101,0,40,39,0
49,4,160647,9,13,2,1,5,4,0,0,0,40,39,1
31,4,145924,15,10,0,7,4,4,0,0,0,35,39,0
66,6,197816,9,13,2,4,0,4,1,0,0,17,39,1
36,4,28572,15,10,2,3,0,4,1,0,0,50,39,0
21,0,72621,15,10,4,0,3,4,1,0,0,45,39,0
31,4,263561,12,14,2,4,0,4,1,0,0,40,39,1
